repo,file_path,total_commits,commits_last_30d,commits_last_90d,days_since_last_change,unique_authors,top_owner_pct,avg_lines_added,avg_lines_deleted,max_lines_changed,bug_fix_count,bug_fix_rate,days_since_last_bugfix,file_age_days,avg_nloc,is_buggy
Bountera,.env.local.example,1,1,1,255,1,1.0,12.0,0.0,12,0,0.0,9999,0,,0
Bountera,.gitignore,3,1,1,72,2,0.6666666666666666,66.66666666666667,36.0,184,0,0.0,9999,273,,0
Bountera,DEPLOYMENT.md,2,1,1,72,2,0.5,186.0,93.0,372,0,0.0,9999,183,,0
Bountera,README.md,4,1,1,72,2,0.75,156.0,86.25,555,1,0.25,345,273,,1
Bountera,app/activity/page.js,2,1,1,72,2,0.5,2.0,0.0,4,0,0.0,9999,247,3.0,0
Bountera,app/api/auth/[...nextauth]/route.js,2,1,1,72,2,0.5,63.0,31.5,126,0,0.0,9999,247,54.0,0
Bountera,app/applicants/page.js,3,1,1,72,2,0.6666666666666666,285.3333333333333,143.0,852,0,0.0,9999,241,382.0,0
Bountera,app/auth-redirect/page.js,4,1,1,72,2,0.75,47.25,25.0,178,0,0.0,9999,247,65.0,0
Bountera,app/bounties/page.js,6,1,1,72,2,0.8333333333333334,133.5,78.83333333333333,656,0,0.0,9999,247,227.33333333333334,0
Bountera,app/bounty-dashboard/page.js,8,1,1,72,2,0.875,72.625,65.625,389,1,0.125,319,247,236.25,1
Bountera,app/bounty-poster-setup/page.js,4,1,1,72,2,0.75,301.25,153.0,1186,0,0.0,9999,247,485.5,0
Bountera,app/create-bounty/page.js,7,1,1,72,2,0.8571428571428571,197.71428571428572,107.0,1270,1,0.14285714285714285,255,247,416.85714285714283,1
Bountera,app/dashboard/page.js,7,1,1,72,2,0.8571428571428571,75.57142857142857,65.28571428571429,305,1,0.14285714285714285,319,247,186.14285714285714,1
Bountera,app/favicon.ico,1,1,1,345,1,1.0,0.0,0.0,0,0,0.0,9999,0,,0
Bountera,app/globals.css,5,1,1,72,2,0.8,175.8,89.6,862,1,0.2,345,273,,1
Bountera,app/globals_clean.css,1,1,1,345,1,1.0,317.0,0.0,317,1,1.0,345,0,,1
Bountera,app/layout.js,6,1,1,72,2,0.8333333333333334,47.0,25.0,264,0,0.0,9999,273,94.5,0
Bountera,app/leaderboard/page.js,7,1,1,72,2,0.8571428571428571,109.28571428571429,66.14285714285714,604,0,0.0,9999,247,260.2857142857143,0
Bountera,app/login/page.js,4,1,1,72,2,0.75,62.75,32.0,246,0,0.0,9999,273,64.25,0
Bountera,app/my-applications/page.js,3,1,1,72,2,0.6666666666666666,199.33333333333334,100.0,594,0,0.0,9999,241,267.0,0
Bountera,app/my-bounties/page.js,5,1,1,72,2,0.8,293.2,153.8,1392,0,0.0,9999,245,539.0,0
Bountera,app/my-donations/page.js,2,1,1,72,2,0.5,199.0,99.5,398,0,0.0,9999,183,185.0,0
Bountera,app/page.js,4,2,4,313,1,1.0,46.5,24.75,140,1,0.25,345,32,70.5,1
Bountera,app/profile-setup/page.js,7,1,1,72,2,0.8571428571428571,339.42857142857144,174.85714285714286,2304,1,0.14285714285714285,319,247,1009.0,1
Bountera,app/profile/[username]/page.js,6,1,1,72,2,0.8333333333333334,238.33333333333334,130.0,1300,1,0.16666666666666666,319,247,464.6666666666667,1
Bountera,app/profile/page.js,2,2,2,317,1,1.0,0.0,0.0,0,0,0.0,9999,2,,0
Bountera,app/view-profile/page.js,3,3,3,319,1,1.0,135.66666666666666,18.666666666666668,313,1,0.3333333333333333,319,0,318.6666666666667,1
Bountera,components.json,2,1,1,72,2,0.5,17.0,8.5,34,1,0.5,345,273,,1
Bountera,components/BountyCard.js,5,1,1,72,2,0.8,172.2,95.8,764,0,0.0,9999,245,281.4,0
Bountera,components/BountyHunterDashboard.js,2,1,1,72,2,0.5,364.5,182.0,728,0,0.0,9999,183,327.0,0
Bountera,components/BountyHunterNavbar.js,2,1,1,72,2,0.5,221.0,110.5,442,0,0.0,9999,183,200.0,0
Bountera,components/BountyModal.js,3,1,1,72,2,0.6666666666666666,251.0,125.33333333333333,752,0,0.0,9999,241,339.3333333333333,0
Bountera,components/BountyPosterDashboard.js,2,1,1,72,2,0.5,367.5,183.5,734,0,0.0,9999,183,333.0,0
Bountera,components/BountyPosterNavbar.js,2,1,1,72,2,0.5,211.0,105.5,422,0,0.0,9999,183,191.0,0
Bountera,components/CTA.js,4,1,1,72,2,0.75,25.5,13.0,100,1,0.25,345,273,43.5,1
Bountera,components/DashboardNavbar.js,6,6,6,313,1,1.0,68.5,12.333333333333334,218,1,0.16666666666666666,319,6,264.6666666666667,1
Bountera,components/Features.js,2,1,1,72,2,0.5,81.0,40.5,162,1,0.5,345,273,71.0,1
Bountera,components/Footer.js,3,1,1,72,2,0.6666666666666666,45.333333333333336,22.666666666666668,136,1,0.3333333333333333,345,273,61.666666666666664,1
Bountera,components/Hero.js,3,1,1,72,2,0.6666666666666666,65.0,33.0,192,1,0.3333333333333333,345,273,81.0,1
Bountera,components/Navbar.js,7,1,1,72,2,0.8571428571428571,30.285714285714285,17.0,184,1,0.14285714285714285,345,273,77.14285714285714,1
