commit_hash,author,date,msg,file,file_path,lines_added,lines_deleted,complexity,nloc,is_bug_fix
b966efa17d837dc62c23d5f8064e184e22b14c2e,Jakub Roztočil,2012-02-25 13:39:38+01:00,Initial commit.,.gitignore,.gitignore,4,0,,,0
b966efa17d837dc62c23d5f8064e184e22b14c2e,Jakub Roztočil,2012-02-25 13:39:38+01:00,Initial commit.,README.md,README.md,15,0,,,0
b966efa17d837dc62c23d5f8064e184e22b14c2e,Jakub Roztočil,2012-02-25 13:39:38+01:00,Initial commit.,httpie.png,httpie.png,0,0,,,0
b966efa17d837dc62c23d5f8064e184e22b14c2e,Jakub Roztočil,2012-02-25 13:39:38+01:00,Initial commit.,__init__.py,httpie/__init__.py,0,0,,,0
b966efa17d837dc62c23d5f8064e184e22b14c2e,Jakub Roztočil,2012-02-25 13:39:38+01:00,Initial commit.,httpie.py,httpie/httpie.py,157,0,26.0,118.0,0
b966efa17d837dc62c23d5f8064e184e22b14c2e,Jakub Roztočil,2012-02-25 13:39:38+01:00,Initial commit.,pretty.py,httpie/pretty.py,49,0,4.0,37.0,0
b966efa17d837dc62c23d5f8064e184e22b14c2e,Jakub Roztočil,2012-02-25 13:39:38+01:00,Initial commit.,setup.py,setup.py,11,0,0.0,9.0,0
e7dc59e0dbcee5ebb584cfa053a89404b2b9778f,Jakub Roztočil,2012-02-25 13:47:23+01:00,Updated README.,README.md,README.md,25,2,,,0
4c522bf93290bdae433668b807448e3840251804,Jakub Roztočil,2012-02-25 13:49:50+01:00,Update README.md,README.md,README.md,6,5,,,0
0373a49d749beac20ad49d05b05391ba1460b4de,Jakub Roztočil,2012-02-25 13:52:29+01:00,Update README.md,README.md,README.md,1,1,,,0
0577d0731634de3ef23d43e9573792e3845e93e8,Jakub Roztočil,2012-02-25 14:33:56+01:00,Fixed a typo.,httpie.py,httpie/httpie.py,1,3,26.0,118.0,1
3f0d621c5a366eb555f1ef5b23de1b7aa1881815,Jakub Roztočil,2012-02-25 14:34:41+01:00,Fixed a typo.,httpie.py,httpie/httpie.py,1,1,26.0,118.0,1
3f0d621c5a366eb555f1ef5b23de1b7aa1881815,Jakub Roztočil,2012-02-25 14:34:41+01:00,Fixed a typo.,setup.py,setup.py,1,1,0.0,9.0,1
b80d27a4ca7241c7ca5f5dd7ca06fc25e8a38e8b,Jakub Roztočil,2012-02-25 14:42:06+01:00,Update README.md,README.md,README.md,2,4,,,0
3c50d590e76a63553162048bce3f0e0eef2abdf1,Jakub Roztočil,2012-02-25 16:58:39+01:00,Fixed README,README.md,README.md,3,3,,,1
75e09a4ac14b074bdf95b64229bbd9de81d33faf,Jakub Roztočil,2012-02-25 16:59:37+01:00,Fixed README.,README.md,README.md,1,1,,,1
65a2fc70426aec7c99eb3b67bb20effd9df3150f,Jakub Roztočil,2012-02-25 20:37:33+01:00,Update README.md,README.md,README.md,1,1,,,0
5653b9c6a010c7e64d778c350644fa722a289139,Jakub Roztočil,2012-02-26 01:37:28+01:00,Added --headers and --body to limit the output.,httpie.py,httpie/httpie.py,28,9,31.0,136.0,0
5653b9c6a010c7e64d778c350644fa722a289139,Jakub Roztočil,2012-02-26 01:37:28+01:00,Added --headers and --body to limit the output.,pretty.py,httpie/pretty.py,12,8,6.0,41.0,0
4059dbc27a3d6fc8ef269b43223c602963458861,Jakub Roztočil,2012-02-26 01:43:44+01:00,Fixed header formatting.,httpie.py,httpie/httpie.py,1,3,30.0,134.0,1
