commit_hash,author,date,msg,file,file_path,lines_added,lines_deleted,complexity,nloc,is_bug_fix
4101de3daf91c6d35b92395a72bf84132ef48f7c,Armin Ronacher,2014-04-24 11:51:55+02:00,Initial commit,.gitignore,.gitignore,7,0,,,0
4101de3daf91c6d35b92395a72bf84132ef48f7c,Armin Ronacher,2014-04-24 11:51:55+02:00,Initial commit,logo.svg,artwork/logo.svg,75,0,,,0
4101de3daf91c6d35b92395a72bf84132ef48f7c,Armin Ronacher,2014-04-24 11:51:55+02:00,Initial commit,click.py,click.py,1533,0,345.0,904.0,0
4101de3daf91c6d35b92395a72bf84132ef48f7c,Armin Ronacher,2014-04-24 11:51:55+02:00,Initial commit,Makefile,docs/Makefile,130,0,,,0
4101de3daf91c6d35b92395a72bf84132ef48f7c,Armin Ronacher,2014-04-24 11:51:55+02:00,Initial commit,click-small.png,docs/_static/click-small.png,0,0,,,0
4101de3daf91c6d35b92395a72bf84132ef48f7c,Armin Ronacher,2014-04-24 11:51:55+02:00,Initial commit,click.png,docs/_static/click.png,0,0,,,0
4101de3daf91c6d35b92395a72bf84132ef48f7c,Armin Ronacher,2014-04-24 11:51:55+02:00,Initial commit,sidebarintro.html,docs/_templates/sidebarintro.html,13,0,,,0
4101de3daf91c6d35b92395a72bf84132ef48f7c,Armin Ronacher,2014-04-24 11:51:55+02:00,Initial commit,sidebarlogo.html,docs/_templates/sidebarlogo.html,3,0,,,0
4101de3daf91c6d35b92395a72bf84132ef48f7c,Armin Ronacher,2014-04-24 11:51:55+02:00,Initial commit,LICENSE,docs/_themes/LICENSE,37,0,,,0
4101de3daf91c6d35b92395a72bf84132ef48f7c,Armin Ronacher,2014-04-24 11:51:55+02:00,Initial commit,README,docs/_themes/README,31,0,,,0
4101de3daf91c6d35b92395a72bf84132ef48f7c,Armin Ronacher,2014-04-24 11:51:55+02:00,Initial commit,layout.html,docs/_themes/click/layout.html,20,0,,,0
4101de3daf91c6d35b92395a72bf84132ef48f7c,Armin Ronacher,2014-04-24 11:51:55+02:00,Initial commit,relations.html,docs/_themes/click/relations.html,19,0,,,0
4101de3daf91c6d35b92395a72bf84132ef48f7c,Armin Ronacher,2014-04-24 11:51:55+02:00,Initial commit,click.css_t,docs/_themes/click/static/click.css_t,396,0,,,0
4101de3daf91c6d35b92395a72bf84132ef48f7c,Armin Ronacher,2014-04-24 11:51:55+02:00,Initial commit,theme.conf,docs/_themes/click/theme.conf,4,0,,,0
4101de3daf91c6d35b92395a72bf84132ef48f7c,Armin Ronacher,2014-04-24 11:51:55+02:00,Initial commit,api.rst,docs/api.rst,85,0,,,0
4101de3daf91c6d35b92395a72bf84132ef48f7c,Armin Ronacher,2014-04-24 11:51:55+02:00,Initial commit,arguments.rst,docs/arguments.rst,114,0,,,0
4101de3daf91c6d35b92395a72bf84132ef48f7c,Armin Ronacher,2014-04-24 11:51:55+02:00,Initial commit,commands.rst,docs/commands.rst,170,0,,,0
4101de3daf91c6d35b92395a72bf84132ef48f7c,Armin Ronacher,2014-04-24 11:51:55+02:00,Initial commit,conf.py,docs/conf.py,217,0,0.0,35.0,0
4101de3daf91c6d35b92395a72bf84132ef48f7c,Armin Ronacher,2014-04-24 11:51:55+02:00,Initial commit,documentation.rst,docs/documentation.rst,98,0,,,0
4101de3daf91c6d35b92395a72bf84132ef48f7c,Armin Ronacher,2014-04-24 11:51:55+02:00,Initial commit,index.rst,docs/index.rst,65,0,,,0
4101de3daf91c6d35b92395a72bf84132ef48f7c,Armin Ronacher,2014-04-24 11:51:55+02:00,Initial commit,make.bat,docs/make.bat,155,0,,,0
4101de3daf91c6d35b92395a72bf84132ef48f7c,Armin Ronacher,2014-04-24 11:51:55+02:00,Initial commit,options.rst,docs/options.rst,331,0,,,0
