commit_hash,author,committer,author_date,committer_date,msg,is_merge,parents_count,file,file_path,lines_added,lines_deleted,lines_changed,is_bug_fix,is_buggy
4101de3daf91c6d35b92395a72bf84132ef48f7c,Armin Ronacher,Armin Ronacher,2014-04-24 09:51:55+00:00,2014-04-24T11:51:55+02:00,Initial commit,False,0,setup.py,setup.py,18,0,18,0,0
4101de3daf91c6d35b92395a72bf84132ef48f7c,Armin Ronacher,Armin Ronacher,2014-04-24 09:51:55+00:00,2014-04-24T11:51:55+02:00,Initial commit,False,0,.gitignore,.gitignore,7,0,7,0,0
4101de3daf91c6d35b92395a72bf84132ef48f7c,Armin Ronacher,Armin Ronacher,2014-04-24 09:51:55+00:00,2014-04-24T11:51:55+02:00,Initial commit,False,0,click.py,click.py,1533,0,1533,0,0
4101de3daf91c6d35b92395a72bf84132ef48f7c,Armin Ronacher,Armin Ronacher,2014-04-24 09:51:55+00:00,2014-04-24T11:51:55+02:00,Initial commit,False,0,Makefile,docs/Makefile,130,0,130,0,0
4101de3daf91c6d35b92395a72bf84132ef48f7c,Armin Ronacher,Armin Ronacher,2014-04-24 09:51:55+00:00,2014-04-24T11:51:55+02:00,Initial commit,False,0,LICENSE,docs/_themes/LICENSE,37,0,37,0,0
4101de3daf91c6d35b92395a72bf84132ef48f7c,Armin Ronacher,Armin Ronacher,2014-04-24 09:51:55+00:00,2014-04-24T11:51:55+02:00,Initial commit,False,0,README,docs/_themes/README,31,0,31,0,0
4101de3daf91c6d35b92395a72bf84132ef48f7c,Armin Ronacher,Armin Ronacher,2014-04-24 09:51:55+00:00,2014-04-24T11:51:55+02:00,Initial commit,False,0,setup.py,examples/repo/setup.py,15,0,15,0,0
4101de3daf91c6d35b92395a72bf84132ef48f7c,Armin Ronacher,Armin Ronacher,2014-04-24 09:51:55+00:00,2014-04-24T11:51:55+02:00,Initial commit,False,0,theme.conf,docs/_themes/click/theme.conf,4,0,4,0,0
4101de3daf91c6d35b92395a72bf84132ef48f7c,Armin Ronacher,Armin Ronacher,2014-04-24 09:51:55+00:00,2014-04-24T11:51:55+02:00,Initial commit,False,0,repo.py,examples/repo/repo.py,51,0,51,0,0
4101de3daf91c6d35b92395a72bf84132ef48f7c,Armin Ronacher,Armin Ronacher,2014-04-24 09:51:55+00:00,2014-04-24T11:51:55+02:00,Initial commit,False,0,click.css_t,docs/_themes/click/static/click.css_t,396,0,396,0,0
