repo,file_path,total_commits,commits_last_30d,commits_last_90d,days_since_last_change,unique_authors,top_owner_pct,avg_lines_added,avg_lines_deleted,max_lines_changed,bug_fix_count,bug_fix_rate,days_since_last_bugfix,file_age_days,avg_nloc,is_buggy
cli,.coveragerc,2,2,2,3798,1,1.0,1.0,0.5,2,1,0.5,3798,0,,1
cli,.editorconfig,2,1,1,2522,1,1.0,9.0,0.5,17,0,0.0,9999,1630,,0
cli,.github/FUNDING.yml,3,1,1,2171,1,1.0,4.666666666666667,0.6666666666666666,12,0,0.0,9999,419,,0
cli,.github/ISSUE_TEMPLATE/bug_report.md,10,1,5,1724,4,0.5,8.9,4.2,48,8,0.8,1724,259,,1
cli,.github/ISSUE_TEMPLATE/feature_request.md,7,1,1,1781,3,0.7142857142857143,7.428571428571429,3.142857142857143,27,4,0.5714285714285714,1781,203,,1
cli,.github/ISSUE_TEMPLATE/other.md,2,2,2,1984,2,0.5,5.5,0.5,10,2,1.0,1984,0,,1
cli,.github/dependabot.yml,1,1,1,1815,1,1.0,9.0,0.0,9,0,0.0,9999,0,,0
cli,.github/workflows/autogenerated-files.yml,4,1,1,1160,3,0.5,7.5,0.75,28,1,0.25,1563,403,,1
cli,.github/workflows/benchmark.yml,6,1,3,1507,2,0.8333333333333334,9.5,0.8333333333333334,52,0,0.0,9999,177,,0
cli,.github/workflows/build.yml,23,1,6,1815,3,0.782608695652174,1.9565217391304348,2.260869565217391,10,4,0.17391304347826086,1870,695,,1
cli,.github/workflows/check-markdown.yml,1,1,1,1779,1,1.0,1.0,1.0,2,0,0.0,9999,0,,0
cli,.github/workflows/code-style.yml,6,1,1,1507,3,0.5,4.333333333333333,0.8333333333333334,21,2,0.3333333333333333,1754,274,,1
cli,.github/workflows/content.yml,1,1,1,1160,1,1.0,5.0,10.0,15,0,0.0,9999,0,,0
cli,.github/workflows/coverage.yml,7,1,1,1507,4,0.42857142857142855,4.285714285714286,0.8571428571428571,24,2,0.2857142857142857,1754,274,,1
cli,.github/workflows/docs-check-markdown.yml,3,1,2,1605,3,0.3333333333333333,1.0,1.0,2,1,0.3333333333333333,1754,148,,1
cli,.github/workflows/docs-deploy.yml,3,1,1,1163,3,0.3333333333333333,1.0,1.0,2,2,0.6666666666666666,1163,590,,1
cli,.github/workflows/docs-update-install.yml,6,2,3,1605,4,0.3333333333333333,6.0,0.5,26,1,0.16666666666666666,1754,148,,1
cli,.github/workflows/documentations.yml,1,1,1,1781,1,1.0,21.0,0.0,21,1,1.0,1781,0,,1
cli,.github/workflows/packaging-linux-snap.yml,1,1,1,1780,1,1.0,25.0,0.0,25,0,0.0,9999,0,,0
cli,.github/workflows/packaging-mac-brew.yml,1,1,1,1780,1,1.0,5.0,5.0,10,0,0.0,9999,0,,0
cli,.github/workflows/packaging-mac-check-formula.yml,1,1,1,1781,1,1.0,1.0,0.0,1,1,1.0,1781,0,,1
cli,.github/workflows/packaging_mac_check_formula.yml,1,1,1,1782,1,1.0,18.0,0.0,18,0,0.0,9999,0,,0
cli,.github/workflows/pythonpackage.yml,15,15,15,2511,1,1.0,10.0,7.2,35,0,0.0,9999,0,,0
cli,.github/workflows/release-brew.yml,2,1,1,1299,2,0.5,13.5,0.5,26,0,0.0,9999,300,,0
cli,.github/workflows/release-choco.yml,2,1,2,1541,1,1.0,31.5,1.0,48,0,0.0,9999,58,,0
cli,.github/workflows/release-linux-standalone.yml,5,1,1,1085,3,0.6,17.2,1.8,68,0,0.0,9999,478,,0
cli,.github/workflows/release-pypi.yml,5,1,4,1507,2,0.8,7.4,1.4,33,0,0.0,9999,92,,0
cli,.github/workflows/release-snap.yml,7,1,1,1160,5,0.42857142857142855,7.428571428571429,1.5714285714285714,26,2,0.2857142857142857,1160,591,,1
cli,.github/workflows/release.yml,8,2,3,1605,3,0.625,4.875,0.75,28,2,0.25,1746,175,,1
cli,.github/workflows/stale.yml,12,1,2,1215,2,0.6666666666666666,3.5,1.3333333333333333,28,4,0.3333333333333333,1683,467,,1
cli,.github/workflows/test-package-linux-snap.yml,6,1,4,1605,3,0.5,1.1666666666666667,0.6666666666666666,3,3,0.5,1653,148,,1
cli,.github/workflows/test-package-mac-brew.yml,6,1,3,1605,3,0.5,1.0,0.8333333333333334,4,3,0.5,1753,148,,1
cli,.github/workflows/tests.yml,13,1,1,631,5,0.23076923076923078,5.076923076923077,0.7692307692307693,40,4,0.3076923076923077,1653,1150,,1
cli,.github/workflows/update-documentation.yml,4,4,4,1775,2,0.5,1.5,0.5,4,1,0.25,1781,6,,1
cli,.github/workflows/update_documentation.yml,1,1,1,1782,1,1.0,18.0,0.0,18,0,0.0,9999,0,,0
cli,.gitignore,16,1,1,1563,8,0.5,11.0,1.3125,141,5,0.3125,1753,3701,,1
cli,.packit.yaml,9,1,5,1550,2,0.6666666666666666,3.3333333333333335,1.7777777777777777,19,4,0.4444444444444444,1629,322,,1
cli,.travis.yml,61,6,6,2523,10,0.7213114754098361,4.311475409836065,2.9672131147540983,88,14,0.22950819672131148,2523,2734,,1
cli,AUTHORS.md,2,1,1,1085,2,0.5,21.0,0.5,41,1,0.5,1783,698,,1
cli,AUTHORS.rst,21,1,1,1789,11,0.42857142857142855,2.5714285714285716,0.5238095238095238,29,5,0.23809523809523808,2523,3319,,1
cli,CHANGELOG.md,78,1,1,631,4,0.5384615384615384,8.243589743589743,2.3205128205128207,367,24,0.3076923076923077,746,1152,,1
cli,CHANGELOG.rst,147,5,7,1787,9,0.8571428571428571,5.129251700680272,1.6122448979591837,246,34,0.23129251700680273,1787,2390,,1
cli,CODE_OF_CONDUCT.md,3,2,2,1781,2,0.6666666666666666,31.0,6.333333333333333,76,2,0.6666666666666666,1781,736,,1
cli,CONTRIBUTING.md,9,1,1,1085,6,0.2222222222222222,25.88888888888889,2.3333333333333335,196,4,0.4444444444444444,1498,698,,1
cli,CONTRIBUTING.rst,33,1,2,1787,11,0.48484848484848486,13.242424242424242,5.818181818181818,132,12,0.36363636363636365,1787,2688,,1
cli,LICENSE,12,1,1,1641,5,0.6666666666666666,5.416666666666667,1.0833333333333333,26,1,0.08333333333333333,5247,3610,,1
cli,MANIFEST.in,10,1,1,1085,4,0.7,1.8,1.0,7,2,0.2,1783,4171,,1
cli,MakeFile,1,1,1,4472,1,1.0,67.0,0.0,67,0,0.0,9999,0,,0
cli,Makefile,50,1,1,859,6,0.66,7.0,3.42,115,18,0.36,859,3612,,1
cli,README.md,46,1,1,873,9,0.43478260869565216,10.152173913043478,5.239130434782608,105,8,0.17391304347826086,1299,4391,,1
cli,README.rst,451,5,14,1787,52,0.8381374722838137,10.802660753880266,5.880266075388026,1007,88,0.1951219512195122,1787,3469,,1
cli,SECURITY.md,3,3,3,1601,2,0.6666666666666666,7.333333333333333,2.6666666666666665,18,0,0.0,9999,3,,0
cli,appveyor.yml,38,2,2,3146,3,0.9473684210526315,2.6578947368421053,2.0789473684210527,19,11,0.2894736842105263,3146,1327,,1
cli,docs/README.md,105,3,3,632,22,0.3238095238095238,33.68571428571428,8.904761904761905,1686,31,0.29523809523809524,632,1217,,1
cli,docs/config.json,7,1,2,1646,3,0.7142857142857143,1.5714285714285714,0.8571428571428571,5,0,0.0,9999,133,,0
