commit_hash,author,committer,author_date,committer_date,msg,is_merge,parents_count,file,file_path,lines_added,lines_deleted,lines_changed,is_bug_fix,is_buggy
33850c0ebd23ae615e6823993d441f46d80b1ff0,Armin Ronacher,Armin Ronacher,2010-04-06 11:12:57+00:00,2010-04-06T13:12:57+02:00,Initial checkin of stuff that exists so far.,False,0,flask.py,flask.py,356,0,356,0,0
33850c0ebd23ae615e6823993d441f46d80b1ff0,Armin Ronacher,Armin Ronacher,2010-04-06 11:12:57+00:00,2010-04-06T13:12:57+02:00,Initial checkin of stuff that exists so far.,False,0,.gitignore,.gitignore,4,0,4,0,0
33850c0ebd23ae615e6823993d441f46d80b1ff0,Armin Ronacher,Armin Ronacher,2010-04-06 11:12:57+00:00,2010-04-06T13:12:57+02:00,Initial checkin of stuff that exists so far.,False,0,schema.sql,examples/minitwit/schema.sql,21,0,21,0,0
33850c0ebd23ae615e6823993d441f46d80b1ff0,Armin Ronacher,Armin Ronacher,2010-04-06 11:12:57+00:00,2010-04-06T13:12:57+02:00,Initial checkin of stuff that exists so far.,False,0,minitwit.py,examples/minitwit/minitwit.py,228,0,228,0,0
33850c0ebd23ae615e6823993d441f46d80b1ff0,Armin Ronacher,Armin Ronacher,2010-04-06 11:12:57+00:00,2010-04-06T13:12:57+02:00,Initial checkin of stuff that exists so far.,False,0,apishowcase.py,examples/apishowcase/apishowcase.py,30,0,30,0,0
b15ad394279fc3b7f998fa56857f334a7c0156f6,Armin Ronacher,Armin Ronacher,2010-04-06 11:23:18+00:00,2010-04-06T13:23:18+02:00,Added setup.py and README,False,1,README,README,17,0,17,0,0
b15ad394279fc3b7f998fa56857f334a7c0156f6,Armin Ronacher,Armin Ronacher,2010-04-06 11:23:18+00:00,2010-04-06T13:23:18+02:00,Added setup.py and README,False,1,setup.py,setup.py,19,0,19,0,1
4ec7d2a0d8eac4f915dc0d38a886cd57045bb0c4,Armin Ronacher,Armin Ronacher,2010-04-06 14:02:14+00:00,2010-04-06T16:02:14+02:00,Started working on documentation.,False,1,minitwit.py,examples/minitwit/minitwit.py,1,1,2,0,0
4ec7d2a0d8eac4f915dc0d38a886cd57045bb0c4,Armin Ronacher,Armin Ronacher,2010-04-06 14:02:14+00:00,2010-04-06T16:02:14+02:00,Started working on documentation.,False,1,.gitignore,.gitignore,1,0,1,0,0
4ec7d2a0d8eac4f915dc0d38a886cd57045bb0c4,Armin Ronacher,Armin Ronacher,2010-04-06 14:02:14+00:00,2010-04-06T16:02:14+02:00,Started working on documentation.,False,1,.gitignore,docs/.gitignore,1,0,1,0,0
4ec7d2a0d8eac4f915dc0d38a886cd57045bb0c4,Armin Ronacher,Armin Ronacher,2010-04-06 14:02:14+00:00,2010-04-06T16:02:14+02:00,Started working on documentation.,False,1,flask.py,flask.py,119,8,127,0,0
4ec7d2a0d8eac4f915dc0d38a886cd57045bb0c4,Armin Ronacher,Armin Ronacher,2010-04-06 14:02:14+00:00,2010-04-06T16:02:14+02:00,Started working on documentation.,False,1,conf.py,docs/conf.py,236,0,236,0,0
4ec7d2a0d8eac4f915dc0d38a886cd57045bb0c4,Armin Ronacher,Armin Ronacher,2010-04-06 14:02:14+00:00,2010-04-06T16:02:14+02:00,Started working on documentation.,False,1,Makefile,docs/Makefile,118,0,118,0,0
4ec7d2a0d8eac4f915dc0d38a886cd57045bb0c4,Armin Ronacher,Armin Ronacher,2010-04-06 14:02:14+00:00,2010-04-06T16:02:14+02:00,Started working on documentation.,False,1,make.bat,docs/make.bat,139,0,139,0,0
44b42e0fbd93d86e0f4e929bda8e5fb63e81035d,Armin Ronacher,Armin Ronacher,2010-04-06 14:16:34+00:00,2010-04-06T16:16:34+02:00,Added a README file for MiniTwit.,False,1,README,examples/minitwit/README,21,0,21,0,0
3b36bef2e6165bb4dad73d17f23ee1879e99f497,Armin Ronacher,Armin Ronacher,2010-04-08 17:03:15+00:00,2010-04-08T19:03:15+02:00,"Improved documentation, added a contextmanager for request binding",False,1,flask.py,flask.py,38,23,61,0,0
3b36bef2e6165bb4dad73d17f23ee1879e99f497,Armin Ronacher,Armin Ronacher,2010-04-08 17:03:15+00:00,2010-04-08T19:03:15+02:00,"Improved documentation, added a contextmanager for request binding",False,1,minitwit.py,examples/minitwit/minitwit.py,2,2,4,0,0
3b36bef2e6165bb4dad73d17f23ee1879e99f497,Armin Ronacher,Armin Ronacher,2010-04-08 17:03:15+00:00,2010-04-08T19:03:15+02:00,"Improved documentation, added a contextmanager for request binding",False,1,conf.py,docs/conf.py,6,1,7,0,1
4aa76212d1be9b17a57249549c2a73fb10b6cda8,Armin Ronacher,Armin Ronacher,2010-04-08 23:32:39+00:00,2010-04-09T01:32:39+02:00,Updated documentation.  Starting to look pretty good,False,1,flask.py,flask.py,16,1,17,0,0
4aa76212d1be9b17a57249549c2a73fb10b6cda8,Armin Ronacher,Armin Ronacher,2010-04-08 23:32:39+00:00,2010-04-09T01:32:39+02:00,Updated documentation.  Starting to look pretty good,False,1,minitwit.py,examples/minitwit/minitwit.py,3,3,6,0,0
727c701686c18c4a27ca523eb0c5862d497be24e,Armin Ronacher,Armin Ronacher,2010-04-09 11:40:05+00:00,2010-04-09T13:40:05+02:00,And finished documentation for most parts.,False,1,minitwit.py,examples/minitwit/minitwit.py,1,1,2,0,0
