commit_hash,author,date,msg,file,file_path,lines_added,lines_deleted,complexity,nloc,is_bug_fix
6b3fd4ef7353661aaceba1152cf7c67bc205096d,Ujjwal Kumar,2026-07-26 21:04:10+05:30,Remove repository history,.DS_Store,.DS_Store,0,0,,,0
6b3fd4ef7353661aaceba1152cf7c67bc205096d,Ujjwal Kumar,2026-07-26 21:04:10+05:30,Remove repository history,.gitattributes,.gitattributes,2,0,,,0
6b3fd4ef7353661aaceba1152cf7c67bc205096d,Ujjwal Kumar,2026-07-26 21:04:10+05:30,Remove repository history,.gitignore,.gitignore,36,0,,,0
6b3fd4ef7353661aaceba1152cf7c67bc205096d,Ujjwal Kumar,2026-07-26 21:04:10+05:30,Remove repository history,settings.json,.vscode/settings.json,4,0,,,0
6b3fd4ef7353661aaceba1152cf7c67bc205096d,Ujjwal Kumar,2026-07-26 21:04:10+05:30,Remove repository history,README.md,README.md,0,0,,,0
6b3fd4ef7353661aaceba1152cf7c67bc205096d,Ujjwal Kumar,2026-07-26 21:04:10+05:30,Remove repository history,app.py,dashboard/app.py,336,0,2.0,286.0,0
6b3fd4ef7353661aaceba1152cf7c67bc205096d,Ujjwal Kumar,2026-07-26 21:04:10+05:30,Remove repository history,Bountera_commits.csv,data/Bountera_commits.csv,772,0,,,0
6b3fd4ef7353661aaceba1152cf7c67bc205096d,Ujjwal Kumar,2026-07-26 21:04:10+05:30,Remove repository history,Bountera_features.csv,data/Bountera_features.csv,78,0,,,0
6b3fd4ef7353661aaceba1152cf7c67bc205096d,Ujjwal Kumar,2026-07-26 21:04:10+05:30,Remove repository history,cli_commits.csv,data/cli_commits.csv,21771,0,,,0
6b3fd4ef7353661aaceba1152cf7c67bc205096d,Ujjwal Kumar,2026-07-26 21:04:10+05:30,Remove repository history,click_commits.csv,data/click_commits.csv,13221,0,,,0
6b3fd4ef7353661aaceba1152cf7c67bc205096d,Ujjwal Kumar,2026-07-26 21:04:10+05:30,Remove repository history,django_commits.csv,data/django_commits.csv,497941,0,,,0
