commit_hash,author,committer,author_date,committer_date,msg,is_merge,parents_count,file,file_path,lines_added,lines_deleted,lines_changed,is_bug_fix,is_buggy
a75bc0ebcdd503cae11aeb5224a3f23587929c2b,Tom Christie,Tom Christie,2019-04-04 12:27:55+00:00,2019-04-04T13:27:55+01:00,Initial commit,False,0,setup.py,setup.py,63,0,63,0,0
a75bc0ebcdd503cae11aeb5224a3f23587929c2b,Tom Christie,Tom Christie,2019-04-04 12:27:55+00:00,2019-04-04T13:27:55+01:00,Initial commit,False,0,__init__.py,httpcore/__init__.py,1,0,1,0,0
a75bc0ebcdd503cae11aeb5224a3f23587929c2b,Tom Christie,Tom Christie,2019-04-04 12:27:55+00:00,2019-04-04T13:27:55+01:00,Initial commit,False,0,.gitignore,.gitignore,8,0,8,0,0
d8497d308e30d0805b8d1cafa77da603579480a1,Tom Christie,Tom Christie,2019-04-04 12:29:52+00:00,2019-04-04T13:29:52+01:00,Add scripts/publish,False,1,publish,scripts/publish,28,0,28,0,0
d12e5d49d09f87b318d7dd85a19b561b89123bbb,Tom Christie,Tom Christie,2019-04-04 12:30:46+00:00,2019-04-04T13:30:46+01:00,Add scripts/clean,False,1,clean,scripts/clean,14,0,14,0,0
30530d446d1ae2f0c3df9b25a67b919c2c00ba1a,Tom Christie,Tom Christie,2019-04-04 17:28:38+00:00,2019-04-04T18:28:38+01:00,Stuff,False,1,test_api.py,tests/test_api.py,96,0,96,0,0
30530d446d1ae2f0c3df9b25a67b919c2c00ba1a,Tom Christie,Tom Christie,2019-04-04 17:28:38+00:00,2019-04-04T18:28:38+01:00,Stuff,False,1,test,scripts/test,12,0,12,0,0
30530d446d1ae2f0c3df9b25a67b919c2c00ba1a,Tom Christie,Tom Christie,2019-04-04 17:28:38+00:00,2019-04-04T18:28:38+01:00,Stuff,False,1,lint,scripts/lint,15,0,15,0,0
30530d446d1ae2f0c3df9b25a67b919c2c00ba1a,Tom Christie,Tom Christie,2019-04-04 17:28:38+00:00,2019-04-04T18:28:38+01:00,Stuff,False,1,install,scripts/install,24,0,24,0,0
30530d446d1ae2f0c3df9b25a67b919c2c00ba1a,Tom Christie,Tom Christie,2019-04-04 17:28:38+00:00,2019-04-04T18:28:38+01:00,Stuff,False,1,exceptions.py,httpcore/exceptions.py,42,0,42,0,0
30530d446d1ae2f0c3df9b25a67b919c2c00ba1a,Tom Christie,Tom Christie,2019-04-04 17:28:38+00:00,2019-04-04T18:28:38+01:00,Stuff,False,1,config.py,httpcore/config.py,54,0,54,0,0
30530d446d1ae2f0c3df9b25a67b919c2c00ba1a,Tom Christie,Tom Christie,2019-04-04 17:28:38+00:00,2019-04-04T18:28:38+01:00,Stuff,False,1,api.py,httpcore/api.py,132,0,132,0,0
30530d446d1ae2f0c3df9b25a67b919c2c00ba1a,Tom Christie,Tom Christie,2019-04-04 17:28:38+00:00,2019-04-04T18:28:38+01:00,Stuff,False,1,__init__.py,httpcore/__init__.py,4,0,4,0,0
7bd9f32cf5fa3fa176b789cffe7e7114a3348b76,Tom Christie,Tom Christie,2019-04-04 17:46:12+00:00,2019-04-04T18:46:12+01:00,Version 0.0.2,False,1,__init__.py,httpcore/__init__.py,1,1,2,0,0
fcc1fe1233c5a47d65ba6d39619a16873efafc70,Tom Christie,Tom Christie,2019-04-05 16:16:12+00:00,2019-04-05T17:16:12+01:00,Decoder support,False,1,decoders.py,httpcore/decoders.py,41,0,41,0,0
fcc1fe1233c5a47d65ba6d39619a16873efafc70,Tom Christie,Tom Christie,2019-04-05 16:16:12+00:00,2019-04-05T17:16:12+01:00,Decoder support,False,1,api.py,httpcore/api.py,26,21,47,0,0
6a4376b202b339b384c728b6753f8f852b42cac8,Tom Christie,Tom Christie,2019-04-05 16:49:59+00:00,2019-04-05T17:49:59+01:00,Connections,False,1,test_responses.py,tests/test_responses.py,109,0,109,0,0
6a4376b202b339b384c728b6753f8f852b42cac8,Tom Christie,Tom Christie,2019-04-05 16:49:59+00:00,2019-04-05T17:49:59+01:00,Connections,False,1,test_api.py,tests/test_api.py,0,96,96,0,0
6a4376b202b339b384c728b6753f8f852b42cac8,Tom Christie,Tom Christie,2019-04-05 16:49:59+00:00,2019-04-05T17:49:59+01:00,Connections,False,1,models.py,httpcore/models.py,68,0,68,0,0
6a4376b202b339b384c728b6753f8f852b42cac8,Tom Christie,Tom Christie,2019-04-05 16:49:59+00:00,2019-04-05T17:49:59+01:00,Connections,False,1,connections.py,httpcore/connections.py,70,0,70,0,0
6a4376b202b339b384c728b6753f8f852b42cac8,Tom Christie,Tom Christie,2019-04-05 16:49:59+00:00,2019-04-05T17:49:59+01:00,Connections,False,1,api.py,httpcore/api.py,4,74,78,0,0
86263fa073aa97cc4f11026e9ca81bef12599f1b,Tom Christie,Tom Christie,2019-04-06 12:18:39+00:00,2019-04-06T13:18:39+01:00,Connections,False,1,connections.py,httpcore/connections.py,87,29,116,0,0
86263fa073aa97cc4f11026e9ca81bef12599f1b,Tom Christie,Tom Christie,2019-04-06 12:18:39+00:00,2019-04-06T13:18:39+01:00,Connections,False,1,api.py,httpcore/api.py,0,67,67,0,0
86263fa073aa97cc4f11026e9ca81bef12599f1b,Tom Christie,Tom Christie,2019-04-06 12:18:39+00:00,2019-04-06T13:18:39+01:00,Connections,False,1,config.py,httpcore/config.py,3,0,3,0,0
86263fa073aa97cc4f11026e9ca81bef12599f1b,Tom Christie,Tom Christie,2019-04-06 12:18:39+00:00,2019-04-06T13:18:39+01:00,Connections,False,1,datastructures.py,httpcore/datastructures.py,145,0,145,0,0
86263fa073aa97cc4f11026e9ca81bef12599f1b,Tom Christie,Tom Christie,2019-04-06 12:18:39+00:00,2019-04-06T13:18:39+01:00,Connections,False,1,__init__.py,httpcore/__init__.py,2,1,3,0,0
86263fa073aa97cc4f11026e9ca81bef12599f1b,Tom Christie,Tom Christie,2019-04-06 12:18:39+00:00,2019-04-06T13:18:39+01:00,Connections,False,1,models.py,httpcore/models.py,0,68,68,0,0
86263fa073aa97cc4f11026e9ca81bef12599f1b,Tom Christie,Tom Christie,2019-04-06 12:18:39+00:00,2019-04-06T13:18:39+01:00,Connections,False,1,pool.py,httpcore/pool.py,126,0,126,0,0
86263fa073aa97cc4f11026e9ca81bef12599f1b,Tom Christie,Tom Christie,2019-04-06 12:18:39+00:00,2019-04-06T13:18:39+01:00,Connections,False,1,conftest.py,tests/conftest.py,34,0,34,0,0
86263fa073aa97cc4f11026e9ca81bef12599f1b,Tom Christie,Tom Christie,2019-04-06 12:18:39+00:00,2019-04-06T13:18:39+01:00,Connections,False,1,test_api.py,tests/test_api.py,38,0,38,0,0
86263fa073aa97cc4f11026e9ca81bef12599f1b,Tom Christie,Tom Christie,2019-04-06 12:18:39+00:00,2019-04-06T13:18:39+01:00,Connections,False,1,test_responses.py,tests/test_responses.py,15,10,25,0,0
86263fa073aa97cc4f11026e9ca81bef12599f1b,Tom Christie,Tom Christie,2019-04-06 12:18:39+00:00,2019-04-06T13:18:39+01:00,Connections,False,1,decoders.py,httpcore/decoders.py,1,1,2,0,0
ba1953cdd01f48a9847ad8481dd8786415a8c58a,Tom Christie,Tom Christie,2019-04-06 12:20:47+00:00,2019-04-06T13:20:47+01:00,Linting,False,1,test_api.py,tests/test_api.py,12,7,19,0,0
ba1953cdd01f48a9847ad8481dd8786415a8c58a,Tom Christie,Tom Christie,2019-04-06 12:20:47+00:00,2019-04-06T13:20:47+01:00,Linting,False,1,conftest.py,tests/conftest.py,9,13,22,0,0
ba1953cdd01f48a9847ad8481dd8786415a8c58a,Tom Christie,Tom Christie,2019-04-06 12:20:47+00:00,2019-04-06T13:20:47+01:00,Linting,False,1,connections.py,httpcore/connections.py,4,3,7,0,0
