commit_hash,author,date,msg,file,file_path,lines_added,lines_deleted,complexity,nloc,is_bug_fix
e7615cbc6b4af5985c4e0d4848a426e2d35f79c3,Kenneth Reitz,2011-02-13 13:41:18-05:00,first commit,README,README,0,0,,,0
d0bf5538097cbdee663eddf4e29e9f34106c67cb,Kenneth Reitz,2011-02-13 13:52:30-05:00,no mo of that,README,README,0,0,,,0
0477018761c67152cdcc0b83d56f27e701e65b9e,Kenneth Reitz,2011-02-13 13:52:37-05:00,easy setup.py,setup.py,setup.py,48,0,1.0,32.0,0
75b499dd046060021db0c7a772dd34df9374a30b,Kenneth Reitz,2011-02-13 13:52:47-05:00,sample test fixtures (none),test_requests.py,test_requests.py,4,0,0.0,1.0,1
c51b44d96bb460ebea3daee7deeff6b686585087,Kenneth Reitz,2011-02-13 13:53:01-05:00,ISC License by mee,LICENSE,LICENSE,13,0,,,0
72e99c0f49823a5b798f8d15896480b7216c4fba,Kenneth Reitz,2011-02-13 13:53:08-05:00,histories,HISTORY.rst,HISTORY.rst,0,0,,,0
ffdbc387ea67398ac123b2ff5a5d69df3e198340,Kenneth Reitz,2011-02-13 13:53:15-05:00,ignore it,.gitignore,.gitignore,1,0,,,0
853a4fd04ce3f4644e204418ee2cd694d9f29180,Kenneth Reitz,2011-02-13 13:53:25-05:00,generic skeleton,reqs.txt,reqs.txt,0,0,,,0
853a4fd04ce3f4644e204418ee2cd694d9f29180,Kenneth Reitz,2011-02-13 13:53:25-05:00,generic skeleton,__init__.py,requests/__init__.py,3,0,0.0,1.0,0
853a4fd04ce3f4644e204418ee2cd694d9f29180,Kenneth Reitz,2011-02-13 13:53:25-05:00,generic skeleton,core.py,requests/core.py,1,0,0.0,0.0,0
a6ffd97ef150f50eb1a0e0e54edf217831011753,Kenneth Reitz,2011-02-13 13:56:54-05:00,initial readme,README.rst,README.rst,59,0,,,0
45c6897128c1e20a98cf259101067123a4768793,Kenneth Reitz,2011-02-13 15:08:32-05:00,good readme update,README.rst,README.rst,52,3,,,0
23842865e973f9aacd58fa935f1fec5c2069de11,Kenneth Reitz,2011-02-13 15:10:54-05:00,readme update,README.rst,README.rst,2,1,,,0
b079a4e03e1a07ce0dd10a3b17d795c9452c9691,Kenneth Reitz,2011-02-13 15:47:00-05:00,added content attributes,README.rst,README.rst,1,0,,,0
c840bc7d0962d253afd4c8a72c242cbf2b882dc0,Kenneth Reitz,2011-02-13 15:49:34-05:00,readme update,README.rst,README.rst,11,3,,,0
d6cf93e3989d03dcaa19f92619ddb0021ccb49f4,Kenneth Reitz,2011-02-13 15:50:55-05:00,added url parameter,README.rst,README.rst,1,0,,,0
