commit_hash,author,date,msg,file,file_path,lines_added,lines_deleted,complexity,nloc,is_bug_fix
7a5d8184e801ad3c6dce8e847b44e79bc45bc67e,Will McGugan,2019-11-10 15:28:10+00:00,Initial commit,.gitignore,.gitignore,104,0,,,0
7a5d8184e801ad3c6dce8e847b44e79bc45bc67e,Will McGugan,2019-11-10 15:28:10+00:00,Initial commit,LICENSE,LICENSE,21,0,,,0
7481db402b68051b04d8fd3126ddfafef0f2fb84,Will McGugan,2019-11-10 15:39:13+00:00,initial commit,.gitignore,.gitignore,2,0,,,0
7481db402b68051b04d8fd3126ddfafef0f2fb84,Will McGugan,2019-11-10 15:39:13+00:00,initial commit,LICENSE,,0,21,,,0
7481db402b68051b04d8fd3126ddfafef0f2fb84,Will McGugan,2019-11-10 15:39:13+00:00,initial commit,README.md,README.md,1,0,,,0
7481db402b68051b04d8fd3126ddfafef0f2fb84,Will McGugan,2019-11-10 15:39:13+00:00,initial commit,poetry.lock,poetry.lock,7,0,,,0
7481db402b68051b04d8fd3126ddfafef0f2fb84,Will McGugan,2019-11-10 15:39:13+00:00,initial commit,pyproject.toml,pyproject.toml,15,0,,,0
7481db402b68051b04d8fd3126ddfafef0f2fb84,Will McGugan,2019-11-10 15:39:13+00:00,initial commit,__init__.py,rich/__init__.py,0,0,,,0
7481db402b68051b04d8fd3126ddfafef0f2fb84,Will McGugan,2019-11-10 15:39:13+00:00,initial commit,_version.py,rich/_version.py,1,0,0.0,1.0,0
7481db402b68051b04d8fd3126ddfafef0f2fb84,Will McGugan,2019-11-10 15:39:13+00:00,initial commit,color.py,rich/color.py,490,0,35.0,424.0,0
7481db402b68051b04d8fd3126ddfafef0f2fb84,Will McGugan,2019-11-10 15:39:13+00:00,initial commit,colors.py,rich/colors.py,6,0,0.0,3.0,0
7481db402b68051b04d8fd3126ddfafef0f2fb84,Will McGugan,2019-11-10 15:39:13+00:00,initial commit,console.py,rich/console.py,306,0,34.0,150.0,0
7481db402b68051b04d8fd3126ddfafef0f2fb84,Will McGugan,2019-11-10 15:39:13+00:00,initial commit,default_styles.py,rich/default_styles.py,51,0,0.0,48.0,0
7481db402b68051b04d8fd3126ddfafef0f2fb84,Will McGugan,2019-11-10 15:39:13+00:00,initial commit,errors.py,rich/errors.py,18,0,0.0,5.0,0
7481db402b68051b04d8fd3126ddfafef0f2fb84,Will McGugan,2019-11-10 15:39:13+00:00,initial commit,escape.py,rich/escape.py,10,0,0.0,6.0,0
7481db402b68051b04d8fd3126ddfafef0f2fb84,Will McGugan,2019-11-10 15:39:13+00:00,initial commit,markdown.py,rich/markdown.py,83,0,10.0,60.0,0
7481db402b68051b04d8fd3126ddfafef0f2fb84,Will McGugan,2019-11-10 15:39:13+00:00,initial commit,style.py,rich/style.py,252,0,81.0,175.0,0
7481db402b68051b04d8fd3126ddfafef0f2fb84,Will McGugan,2019-11-10 15:39:13+00:00,initial commit,text.py,rich/text.py,155,0,25.0,94.0,0
d0ece455dad6eb3b11f412d6baca340676920f9d,Will McGugan,2019-11-10 16:44:59+00:00,tidier rich text,text.py,rich/text.py,47,16,27.0,105.0,0
065f0a7ac79b81eb81306afbc140355eb81de13e,Will McGugan,2019-11-10 16:52:03+00:00,init and doc,text.py,rich/text.py,14,1,27.0,110.0,0
a6db216788e082a4c5441713afd265dddea2f64e,Will McGugan,2019-11-15 21:47:29+00:00,functionality update,.gitignore,.gitignore,1,0,,,0
a6db216788e082a4c5441713afd265dddea2f64e,Will McGugan,2019-11-15 21:47:29+00:00,functionality update,_stack.py,rich/_stack.py,15,0,2.0,8.0,0
a6db216788e082a4c5441713afd265dddea2f64e,Will McGugan,2019-11-15 21:47:29+00:00,functionality update,color.py,rich/color.py,4,3,35.0,425.0,0
a6db216788e082a4c5441713afd265dddea2f64e,Will McGugan,2019-11-15 21:47:29+00:00,functionality update,console.py,rich/console.py,137,47,49.0,190.0,0
