commit_hash,author,committer,author_date,committer_date,msg,is_merge,parents_count,file,file_path,lines_added,lines_deleted,lines_changed,is_bug_fix,is_buggy
7a5d8184e801ad3c6dce8e847b44e79bc45bc67e,Will McGugan,GitHub,2019-11-10 15:28:10+00:00,2019-11-10T15:28:10Z,Initial commit,False,0,LICENSE,LICENSE,21,0,21,0,0
7a5d8184e801ad3c6dce8e847b44e79bc45bc67e,Will McGugan,GitHub,2019-11-10 15:28:10+00:00,2019-11-10T15:28:10Z,Initial commit,False,0,.gitignore,.gitignore,104,0,104,0,0
7481db402b68051b04d8fd3126ddfafef0f2fb84,Will McGugan,Will McGugan,2019-11-10 15:39:13+00:00,2019-11-10T15:39:13Z,initial commit,False,1,style.py,rich/style.py,252,0,252,0,0
7481db402b68051b04d8fd3126ddfafef0f2fb84,Will McGugan,Will McGugan,2019-11-10 15:39:13+00:00,2019-11-10T15:39:13Z,initial commit,False,1,.gitignore,.gitignore,2,0,2,0,0
7481db402b68051b04d8fd3126ddfafef0f2fb84,Will McGugan,Will McGugan,2019-11-10 15:39:13+00:00,2019-11-10T15:39:13Z,initial commit,False,1,LICENSE,LICENSE,0,21,21,0,0
7481db402b68051b04d8fd3126ddfafef0f2fb84,Will McGugan,Will McGugan,2019-11-10 15:39:13+00:00,2019-11-10T15:39:13Z,initial commit,False,1,__init__.py,rich/__init__.py,0,0,0,0,0
7481db402b68051b04d8fd3126ddfafef0f2fb84,Will McGugan,Will McGugan,2019-11-10 15:39:13+00:00,2019-11-10T15:39:13Z,initial commit,False,1,_version.py,rich/_version.py,1,0,1,0,0
7481db402b68051b04d8fd3126ddfafef0f2fb84,Will McGugan,Will McGugan,2019-11-10 15:39:13+00:00,2019-11-10T15:39:13Z,initial commit,False,1,color.py,rich/color.py,490,0,490,0,0
7481db402b68051b04d8fd3126ddfafef0f2fb84,Will McGugan,Will McGugan,2019-11-10 15:39:13+00:00,2019-11-10T15:39:13Z,initial commit,False,1,text.py,rich/text.py,155,0,155,0,0
7481db402b68051b04d8fd3126ddfafef0f2fb84,Will McGugan,Will McGugan,2019-11-10 15:39:13+00:00,2019-11-10T15:39:13Z,initial commit,False,1,console.py,rich/console.py,306,0,306,0,0
7481db402b68051b04d8fd3126ddfafef0f2fb84,Will McGugan,Will McGugan,2019-11-10 15:39:13+00:00,2019-11-10T15:39:13Z,initial commit,False,1,markdown.py,rich/markdown.py,83,0,83,0,0
7481db402b68051b04d8fd3126ddfafef0f2fb84,Will McGugan,Will McGugan,2019-11-10 15:39:13+00:00,2019-11-10T15:39:13Z,initial commit,False,1,escape.py,rich/escape.py,10,0,10,0,0
7481db402b68051b04d8fd3126ddfafef0f2fb84,Will McGugan,Will McGugan,2019-11-10 15:39:13+00:00,2019-11-10T15:39:13Z,initial commit,False,1,colors.py,rich/colors.py,6,0,6,0,0
7481db402b68051b04d8fd3126ddfafef0f2fb84,Will McGugan,Will McGugan,2019-11-10 15:39:13+00:00,2019-11-10T15:39:13Z,initial commit,False,1,default_styles.py,rich/default_styles.py,51,0,51,0,0
7481db402b68051b04d8fd3126ddfafef0f2fb84,Will McGugan,Will McGugan,2019-11-10 15:39:13+00:00,2019-11-10T15:39:13Z,initial commit,False,1,errors.py,rich/errors.py,18,0,18,0,1
d0ece455dad6eb3b11f412d6baca340676920f9d,Will McGugan,Will McGugan,2019-11-10 16:44:59+00:00,2019-11-10T16:44:59Z,tidier rich text,False,1,text.py,rich/text.py,47,16,63,0,0
065f0a7ac79b81eb81306afbc140355eb81de13e,Will McGugan,Will McGugan,2019-11-10 16:52:03+00:00,2019-11-10T16:52:03Z,init and doc,False,1,text.py,rich/text.py,14,1,15,0,0
a6db216788e082a4c5441713afd265dddea2f64e,Will McGugan,Will McGugan,2019-11-15 21:47:29+00:00,2019-11-15T21:47:29Z,functionality update,False,1,styled_text.py,rich/styled_text.py,14,0,14,0,0
a6db216788e082a4c5441713afd265dddea2f64e,Will McGugan,Will McGugan,2019-11-15 21:47:29+00:00,2019-11-15T21:47:29Z,functionality update,False,1,style.py,rich/style.py,17,4,21,0,0
a6db216788e082a4c5441713afd265dddea2f64e,Will McGugan,Will McGugan,2019-11-15 21:47:29+00:00,2019-11-15T21:47:29Z,functionality update,False,1,markdown.py,rich/markdown.py,94,37,131,0,0
a6db216788e082a4c5441713afd265dddea2f64e,Will McGugan,Will McGugan,2019-11-15 21:47:29+00:00,2019-11-15T21:47:29Z,functionality update,False,1,default_styles.py,rich/default_styles.py,44,40,84,0,0
a6db216788e082a4c5441713afd265dddea2f64e,Will McGugan,Will McGugan,2019-11-15 21:47:29+00:00,2019-11-15T21:47:29Z,functionality update,False,1,console.py,rich/console.py,137,47,184,0,0
a6db216788e082a4c5441713afd265dddea2f64e,Will McGugan,Will McGugan,2019-11-15 21:47:29+00:00,2019-11-15T21:47:29Z,functionality update,False,1,color.py,rich/color.py,4,3,7,0,0
a6db216788e082a4c5441713afd265dddea2f64e,Will McGugan,Will McGugan,2019-11-15 21:47:29+00:00,2019-11-15T21:47:29Z,functionality update,False,1,.gitignore,.gitignore,1,0,1,0,0
a6db216788e082a4c5441713afd265dddea2f64e,Will McGugan,Will McGugan,2019-11-15 21:47:29+00:00,2019-11-15T21:47:29Z,functionality update,False,1,text.py,rich/text.py,286,48,334,0,0
a6db216788e082a4c5441713afd265dddea2f64e,Will McGugan,Will McGugan,2019-11-15 21:47:29+00:00,2019-11-15T21:47:29Z,functionality update,False,1,_stack.py,rich/_stack.py,15,0,15,0,0
44f8d0dcf92d570187b78cbb5ba1ad6d3d44661d,Will McGugan,Will McGugan,2019-11-16 10:54:03+00:00,2019-11-16T10:54:03Z,simplify print,False,1,text.py,rich/text.py,3,6,9,0,0
44f8d0dcf92d570187b78cbb5ba1ad6d3d44661d,Will McGugan,Will McGugan,2019-11-16 10:54:03+00:00,2019-11-16T10:54:03Z,simplify print,False,1,markdown.py,rich/markdown.py,3,4,7,0,0
44f8d0dcf92d570187b78cbb5ba1ad6d3d44661d,Will McGugan,Will McGugan,2019-11-16 10:54:03+00:00,2019-11-16T10:54:03Z,simplify print,False,1,console.py,rich/console.py,20,38,58,0,0
f4f69255f3ebf7780a6619f7b4d3e7364a187815,Will McGugan,Will McGugan,2019-11-16 11:05:14+00:00,2019-11-16T11:05:14Z,nicer print,False,1,console.py,rich/console.py,24,3,27,0,0
6db8f2697bcad3d77778032736517f731790a452,Will McGugan,Will McGugan,2019-11-16 13:18:32+00:00,2019-11-16T13:18:32Z,docstring,False,1,style.py,rich/style.py,1,0,1,0,0
62a4aaadeb2d9acc7225045e7146b872623c99c8,Will McGugan,Will McGugan,2019-11-16 14:24:18+00:00,2019-11-16T14:24:18Z,bit based style attributes,False,1,style.py,rich/style.py,102,41,143,0,0
3ddaaa3cbac3652803aaa3f1ff9a822647f5d86d,Will McGugan,Will McGugan,2019-11-16 14:24:43+00:00,2019-11-16T14:24:43Z,remove print,False,1,style.py,rich/style.py,0,2,2,0,0
bcba17277ccfe965f979a779ac52e3b98f831faa,Will McGugan,Will McGugan,2019-11-16 19:44:51+00:00,2019-11-16T19:44:51Z,streamlined color def,False,1,style.py,rich/style.py,43,31,74,0,0
f789215e990eabe14e22567af0323b56609ed364,Will McGugan,Will McGugan,2019-11-16 19:57:24+00:00,2019-11-16T19:57:24Z,optimized,False,1,style.py,rich/style.py,28,22,50,0,0
595c49afe93abb404e249487d38dc28c8774e6f6,Will McGugan,Will McGugan,2019-11-16 20:03:51+00:00,2019-11-16T20:03:51Z,optimized style rener,False,1,style.py,rich/style.py,12,33,45,0,0
6b1e9588b564c33526cca0612b774f3067f99354,Will McGugan,Will McGugan,2019-11-16 20:05:21+00:00,2019-11-16T20:05:21Z,tidy sig,False,1,style.py,rich/style.py,1,3,4,0,0
7c53168fb6c3fc08239f777abf8300ce11191ce5,Will McGugan,Will McGugan,2019-11-17 17:15:23+00:00,2019-11-17T17:15:23Z,better markdown renderer,False,1,style.py,rich/style.py,22,1,23,0,0
7c53168fb6c3fc08239f777abf8300ce11191ce5,Will McGugan,Will McGugan,2019-11-17 17:15:23+00:00,2019-11-17T17:15:23Z,better markdown renderer,False,1,markdown.py,rich/markdown.py,229,75,304,0,0
7c53168fb6c3fc08239f777abf8300ce11191ce5,Will McGugan,Will McGugan,2019-11-17 17:15:23+00:00,2019-11-17T17:15:23Z,better markdown renderer,False,1,default_styles.py,rich/default_styles.py,3,0,3,0,0
f470ca2f5fcf621a7d3c1f2989a284b6eec8cd30,Will McGugan,Will McGugan,2019-11-17 17:22:23+00:00,2019-11-17T17:22:23Z,markdown parser,False,1,markdown.py,rich/markdown.py,19,7,26,0,1
8708f78689b074bb348c6fd4e63001020f848639,Will McGugan,Will McGugan,2019-11-17 17:33:45+00:00,2019-11-17T17:33:45Z,constructor fix,False,1,markdown.py,rich/markdown.py,31,16,47,1,0
724d3d8ae1b1d90af8d69c0dc38ac6de44ed4275,Will McGugan,Will McGugan,2019-11-20 15:29:18+00:00,2019-11-20T15:29:18Z,text formatting,False,1,text.py,rich/text.py,105,38,143,0,0
724d3d8ae1b1d90af8d69c0dc38ac6de44ed4275,Will McGugan,Will McGugan,2019-11-20 15:29:18+00:00,2019-11-20T15:29:18Z,text formatting,False,1,style.py,rich/style.py,9,0,9,0,1
